GEOID,NAME,Total_Population,Below_Poverty,Poverty_Rate,County_Clean
17167,"Sangamon County, Illinois",50223,5090,10.134798797363757,Sangamon
17169,"Schuyler County, Illinois",1681,104,6.186793575252826,Schuyler
17171,"Scott County, Illinois",1383,129,9.327548806941431,Scott
17173,"Shelby County, Illinois",6185,549,8.87631366208569,Shelby
17175,"Stark County, Illinois",1525,158,10.360655737704919,Stark
17177,"Stephenson County, Illinois",12632,1181,9.349271690943635,Stephenson
17179,"Tazewell County, Illinois",36136,2010,5.56232012397609,Tazewell
17181,"Union County, Illinois",4559,512,11.230533011625358,Union
17183,"Vermilion County, Illinois",19415,2747,14.14885397888231,Vermilion
17185,"Wabash County, Illinois",3225,276,8.558139534883722,Wabash
17187,"Warren County, Illinois",4558,479,10.508995173321631,Warren
17189,"Washington County, Illinois",4060,172,4.236453201970444,Washington
17191,"Wayne County, Illinois",4529,441,9.73724884080371,Wayne
17193,"White County, Illinois",4003,404,10.092430676992256,White
17195,"Whiteside County, Illinois",14963,1097,7.331417496491345,Whiteside
17197,"Will County, Illinois",171227,8547,4.991619312374801,Will
17199,"Williamson County, Illinois",16953,1594,9.402465640299653,Williamson
17201,"Winnebago County, Illinois",73899,8530,11.542781363753232,Winnebago
17203,"Woodford County, Illinois",10491,573,5.461824420932228,Woodford
