GEOID,NAME,District_Type,Total_Population,Below_Poverty,Poverty_Rate,District_Clean
1733450,"Richland School District 88A, Illinois",Elementary,2483,159,6.403544099879179,richland school district 88a
1733690,"Ridgeland School District 122, Illinois",Elementary,5290,716,13.534971644612476,ridgeland school district 122
1733750,"Riley Community Consolidated School District 18, Illinois",Elementary,795,43,5.4088050314465415,riley community consolidated school district 18
1733810,"River Forest School District 90, Illinois",Elementary,2824,64,2.26628895184136,river forest school district 90
1733840,"River Grove School District 85-5, Illinois",Elementary,1930,174,9.015544041450777,river grove school district 85-5
1733870,"River Trails School District 26, Illinois",Elementary,4301,207,4.81283422459893,river trails school district 26
1733990,"Riverside School District 96, Illinois",Elementary,3561,149,4.184217916315642,riverside school district 96
1734110,"Riverview Consolidated Community School District 2, Illinois",Elementary,776,55,7.087628865979381,riverview consolidated community school district 2
1734170,"Robein School District 85, Illinois",Elementary,608,39,6.4144736842105265,robein school district 85
1734260,"Rochelle Community Consolidated District 231, Illinois",Elementary,3431,234,6.820169046925095,rochelle community consolidated district 231
1734350,"Rock Falls Elementary School District 13, Illinois",Elementary,2194,284,12.944393801276208,rock falls elementary school district 13
1734470,"Rockdale School District 84, Illinois",Elementary,517,56,10.831721470019342,rockdale school district 84
1734540,"Rockton School District 140, Illinois",Elementary,3503,130,3.711104767342278,rockton school district 140
1734590,"Rome Community Consolidated School District 2, Illinois",Elementary,696,32,4.597701149425287,rome community consolidated school district 2
1734620,"Rondout School District 72, Illinois",Elementary,445,12,2.696629213483146,rondout school district 72
1734650,"Rooks Creek Community Consolidated School District 425, Illinois",Elementary,151,5,3.3112582781456954,rooks creek community consolidated school district 425
1734710,"Roselle School District 12, Illinois",Elementary,1780,28,1.5730337078651686,roselle school district 12
1734740,"Schaumburg Community Consolidated School District 54, Illinois",Elementary,34316,1512,4.40610793798811,schaumburg community consolidated school district 54
1734770,"Rosemont Elementary School District 78, Illinois",Elementary,522,34,6.513409961685824,rosemont elementary school district 78
1735100,"Rutland Community Consolidated School District 230, Illinois",Elementary,194,7,3.608247422680412,rutland community consolidated school district 230
1735160,"Salem School District 111, Illinois",Elementary,2265,371,16.379690949227374,salem school district 111
1735220,"Salt Creek School District 48, Illinois",Elementary,2055,61,2.9683698296836982,salt creek school district 48
1735340,"Sandridge School District 172, Illinois",Elementary,1030,86,8.349514563106796,sandridge school district 172
1735400,"Saratoga Community Consolidated School District 60C, Illinois",Elementary,1801,169,9.383675735702388,saratoga community consolidated school district 60c
1735460,"Community Consolidated School District 168, Illinois",Elementary,2302,601,26.107732406602953,community consolidated school district 168
1735640,"Schiller Park School District 81, Illinois",Elementary,3450,469,13.594202898550725,schiller park school district 81
1735770,"Selmaville Community Consolidated School District 10, Illinois",Elementary,494,19,3.8461538461538463,selmaville community consolidated school district 10
1735820,"Seneca Community Consolidated School District 170, Illinois",Elementary,1026,172,16.764132553606238,seneca community consolidated school district 170
1736210,"Shiloh Village School District 85, Illinois",Elementary,1279,54,4.222048475371384,shiloh village school district 85
1736240,"Shirland Community Consolidated School District 134, Illinois",Elementary,414,11,2.657004830917874,shirland community consolidated school district 134
1736300,"Elementary School District 159, Illinois",Elementary,4888,274,5.60556464811784,elementary school district 159
1736330,"Signal Hill School District 181, Illinois",Elementary,821,11,1.3398294762484775,signal hill school district 181
1736360,"Silvis School District 34, Illinois",Elementary,1349,218,16.160118606375093,silvis school district 34
1736450,"Skokie School District 68, Illinois",Elementary,4976,258,5.184887459807074,skokie school district 68
1736480,"Skokie School District 69, Illinois",Elementary,4645,534,11.496232508073197,skokie school district 69
1736510,"Smithton Community Consolidated School District 130, Illinois",Elementary,1283,29,2.260327357755261,smithton community consolidated school district 130
1736720,"South Holland School District 150, Illinois",Elementary,2359,168,7.121661721068249,south holland school district 150
1736750,"South Holland School District 151, Illinois",Elementary,3325,578,17.383458646616543,south holland school district 151
1736780,"South Pekin School District 137, Illinois",Elementary,493,46,9.330628803245435,south pekin school district 137
1736810,"Burbank School District 111, Illinois",Elementary,7068,570,8.064516129032258,burbank school district 111
1736840,"South Wilmington Consolidated School District 74, Illinois",Elementary,263,6,2.2813688212927756,south wilmington consolidated school district 74
1737020,"Spring Lake Community Consolidated School District 606, Illinois",Elementary,213,21,9.859154929577464,spring lake community consolidated school district 606
1737050,"Spring Valley Community Consolidated School District 99, Illinois",Elementary,1577,163,10.336081166772352,spring valley community consolidated school district 99
1737120,"St. Anne Consolidated Community School District 256, Illinois",Elementary,714,34,4.761904761904762,st. anne consolidated community school district 256
1737320,"St. George Community Consolidated School District 258, Illinois",Elementary,959,0,0,st. george community consolidated school district 258
1737380,"St. Joseph Community Consolidated School District 169, Illinois",Elementary,1709,76,4.447045055588063,st. joseph community consolidated school district 169
1737440,"St. Libory Consolidated School District 30, Illinois",Elementary,245,15,6.122448979591836,st. libory consolidated school district 30
1737470,"St. Rose School District 14-15, Illinois",Elementary,390,11,2.8205128205128207,st. rose school district 14-15
1737680,"Steger School District 194, Illinois",Elementary,3510,429,12.222222222222221,steger school district 194
1737800,"Steward Elementary School District 220, Illinois",Elementary,178,4,2.247191011235955,steward elementary school district 220
1737860,"Central Stickney School District 110, Illinois",Elementary,674,73,10.83086053412463,central stickney school district 110
1738190,"Summersville School District 79, Illinois",Elementary,501,59,11.776447105788424,summersville school district 79
1738220,"Summit Hill School District 161, Illinois",Elementary,6410,120,1.87207488299532,summit hill school district 161
1738370,"Sunnybrook School District 171, Illinois",Elementary,2904,199,6.852617079889807,sunnybrook school district 171
1738400,"Sunset Ridge School District 29, Illinois",Elementary,1205,15,1.2448132780082988,sunset ridge school district 29
1738520,"Taft School District 90, Illinois",Elementary,782,26,3.324808184143223,taft school district 90
1738550,"Tamaroa School District 5, Illinois",Elementary,244,9,3.6885245901639343,tamaroa school district 5
1738790,"Thomasboro Community Consolidated School District 130, Illinois",Elementary,494,34,6.882591093117409,thomasboro community consolidated school district 130
1738910,"Thornton School District 154, Illinois",Elementary,829,38,4.583835946924005,thornton school district 154
1739030,"Community Consolidated School District 146, Illinois",Elementary,6647,433,6.514216939972921,community consolidated school district 146
1739180,"Tonica Community Consolidated School District 79, Illinois",Elementary,463,24,5.183585313174946,tonica community consolidated school district 79
1739510,"Troy Community Consolidated School District 30C, Illinois",Elementary,9310,351,3.7701396348012888,troy community consolidated school district 30c
1739660,"Union School District 81, Illinois",Elementary,392,26,6.63265306122449,union school district 81
1739780,"Union Ridge School District 86, Illinois",Elementary,1463,141,9.637730690362268,union ridge school district 86
1739930,"Unity Point Community Consolidated School District 140, Illinois",Elementary,1274,117,9.183673469387756,unity point community consolidated school district 140
1740260,"Vienna School District 55, Illinois",Elementary,930,97,10.43010752688172,vienna school district 55
1740350,"Villa Park School District 45, Illinois",Elementary,9389,464,4.941953349664501,villa park school district 45
1740500,"Glen Ellyn Community Consolidated School District 89, Illinois",Elementary,6240,163,2.6121794871794872,glen ellyn community consolidated school district 89
1740530,"Wallace Community Consolidated School District 195, Illinois",Elementary,878,115,13.097949886104784,wallace community consolidated school district 195
1740620,"Waltham Community Consolidated School District 185, Illinois",Elementary,727,14,1.925722145804677,waltham community consolidated school district 185
1740680,"North Wamac School District 186, Illinois",Elementary,279,48,17.20430107526882,north wamac school district 186
1741010,"District 50 Schools, Illinois",Elementary,1697,93,5.480259281084266,district 50 schools
1741040,"Washington School District 52, Illinois",Elementary,2372,14,0.5902192242833052,washington school district 52
1741520,"Calumet City School District 155, Illinois",Elementary,2606,301,11.550268610897927,calumet city school district 155
1741550,"West Chicago School District 33, Illinois",Elementary,6840,555,8.114035087719298,west chicago school district 33
1741600,"West Lincoln-Broadwell Elementary School District 92, Illinois",Elementary,575,43,7.478260869565218,west lincoln-broadwell elementary school district 92
1741700,"West Northfield School District 31, Illinois",Elementary,2588,181,6.993817619783617,west northfield school district 31
1741790,"Westchester School District 92-5, Illinois",Elementary,4013,136,3.388985796162472,westchester school district 92-5
1741820,"Western Springs School District 101, Illinois",Elementary,2739,57,2.08105147864184,western springs school district 101
1742210,"Wheeling Community Consolidated School District 21, Illinois",Elementary,16848,985,5.84639126305793,wheeling community consolidated school district 21
1742300,"Whiteside School District 115, Illinois",Elementary,4041,292,7.225934174709231,whiteside school district 115
1742510,"Willow Grove School District 46, Illinois",Elementary,438,73,16.666666666666664,willow grove school district 46
1742570,"Willow Springs School District 108, Illinois",Elementary,1024,126,12.3046875,willow springs school district 108
1742600,"Wilmette School District 39, Illinois",Elementary,7314,156,2.1328958162428218,wilmette school district 39
1742720,"Winfield School District 34, Illinois",Elementary,1228,10,0.8143322475570033,winfield school district 34
1742840,"Winnetka School District 36, Illinois",Elementary,3238,59,1.8221124150710315,winnetka school district 36
1742900,"Winthrop Harbor School District 1, Illinois",Elementary,1911,26,1.3605442176870748,winthrop harbor school district 1
1742960,"Wolf Branch School District 113, Illinois",Elementary,2159,74,3.4275127373784158,wolf branch school district 113
1743020,"Wood Dale School District 7, Illinois",Elementary,2543,187,7.353519465198584,wood dale school district 7
1743050,"Wood River-Hartford Elementary School District 15, Illinois",Elementary,1477,208,14.082599864590387,wood river-hartford elementary school district 15
1743110,"Woodland Community Consolidated School District 50, Illinois",Elementary,13003,465,3.576097823579174,woodland community consolidated school district 50
1743380,"Worth School District 127, Illinois",Elementary,2701,184,6.812291743798593,worth school district 127
1743860,"Zion Elementary School District 6, Illinois",Elementary,3905,709,18.156209987195904,zion elementary school district 6
1799002,"Bluford Unit School District 318 (KG-8) in Mount Vernon, Illinois",Elementary,132,11,8.333333333333332,bluford unit school district 318 (kg-8) in mount vernon
1799003,"Woodlawn Unit District 209 (KG-8) in Mount Vernon, Illinois",Elementary,126,5,3.968253968253968,woodlawn unit district 209 (kg-8) in mount vernon
1799007,"Woodlawn Unit District 209 (KG-8) in Nashville, Illinois",Elementary,4,0,0,woodlawn unit district 209 (kg-8) in nashville
1799999,"Remainder of Illinois, Illinois",Elementary,1903693,194602,10.222341522503891,remainder of illinois
1701384,"Illini West High School District 307, Illinois",Secondary,2236,227,10.152057245080501,illini west high school district 307
1703780,"Anna Jonesboro Community High School District 81, Illinois",Secondary,2806,341,12.152530292230935,anna jonesboro community high school district 81
1703870,"Antioch Community High School District 117, Illinois",Secondary,12225,502,4.106339468302658,antioch community high school district 117
1704020,"Argo Community High School District 217, Illinois",Secondary,9740,1300,13.347022587268995,argo community high school district 217
1704170,"Township High School District 214, Illinois",Secondary,65624,2827,4.307875167621602,township high school district 214
1704230,"Armstrong Township High School District 225, Illinois",Secondary,458,14,3.056768558951965,armstrong township high school district 225
1704770,"Central Community High School District 71, Illinois",Secondary,4646,191,4.111063280241067,central community high school district 71
1705640,"Belleville Township High School District 201, Illinois",Secondary,26499,1862,7.026680252084984,belleville township high school district 201
1705970,"Benton Consolidated High School District 103, Illinois",Secondary,3149,411,13.051762464274372,benton consolidated high school district 103
1706420,"Bloom Township High School District 206, Illinois",Secondary,14593,2758,18.89947234975673,bloom township high school district 206
1706540,"Community High School District 218, Illinois",Secondary,28671,2585,9.016078964807646,community high school district 218
1706960,"Bradley-Bourbonnais Consolidated High School District 307, Illinois",Secondary,9380,774,8.251599147121535,bradley-bourbonnais consolidated high school district 307
1707050,"Bremen Community High School District 228, Illinois",Secondary,22346,1735,7.764253110176318,bremen community high school district 228
1708370,"Carbondale Community High School District 165, Illinois",Secondary,6599,1072,16.244885588725563,carbondale community high school district 165
1708400,"Consolidated High School District 230, Illinois",Secondary,41747,2549,6.105827963686013,consolidated high school district 230
1709300,"Centralia High School District 200, Illinois",Secondary,5379,758,14.091838631715934,centralia high school district 200
1709780,"Chester Non-High School District 122, Illinois",Secondary,219,10,4.5662100456621,chester non-high school district 122
1711370,"Community High School District 155, Illinois",Secondary,26296,1051,3.996805597809553,community high school district 155
1712570,"Community High School District 99, Illinois",Secondary,28982,1025,3.536677938030502,community high school district 99
1712870,"Dwight Township High School District 230, Illinois",Secondary,1333,155,11.627906976744185,dwight township high school district 230
1712990,"East Alton-Wood River Community High School District 14, Illinois",Secondary,3184,483,15.169597989949748,east alton-wood river community high school district 14
1713230,"East Peoria Community High School District 309, Illinois",Secondary,6519,277,4.249117962877742,east peoria community high school district 309
1713940,"DuPage High School District 88, Illinois",Secondary,20476,1239,6.050986520804845,dupage high school district 88
1714490,"Evanston Township High School District 202, Illinois",Secondary,17209,935,5.433203556278691,evanston township high school district 202
1714580,"Evergreen Park Community High School District 231, Illinois",Secondary,4870,261,5.359342915811088,evergreen park community high school district 231
1715030,"Fenton Community High School District 100, Illinois",Secondary,7315,506,6.917293233082707,fenton community high school district 100
1715840,"Freeburg Community High School District 77, Illinois",Secondary,3595,154,4.283727399165508,freeburg community high school district 77
1716260,"Gardner-South Wilmington Township High School District, Illinois",Secondary,1177,82,6.966864910790145,gardner-south wilmington township high school district
1716830,"Glenbard Township High School District 87, Illinois",Secondary,41945,2265,5.399928477768507,glenbard township high school district 87
1717340,"Grant Community High School District 124, Illinois",Secondary,9284,478,5.1486428263679445,grant community high school district 124
1717550,"Grayslake Community High School District 127, Illinois",Secondary,11695,417,3.565626336041043,grayslake community high school district 127
1717901,"Flanagan-Cornell District 74 in Cornell, Illinois",Secondary,314,54,17.197452229299362,flanagan-cornell district 74 in cornell
1717902,"Flanagan-Cornell District 74 in Pontiac, Illinois",Secondary,8,1,12.5,flanagan-cornell district 74 in pontiac
1717903,"Flanagan-Cornell District 74 in Rooks Creek, Illinois",Secondary,0,0,NA,flanagan-cornell district 74 in rooks creek
1718030,"Hall High School District 502, Illinois",Secondary,2470,224,9.068825910931174,hall high school district 502
1719080,"Township High School District 113, Illinois",Secondary,16453,563,3.4218683522761806,township high school district 113
1719320,"Hinsdale Township High School District 86, Illinois",Secondary,20615,970,4.70531166626243,hinsdale township high school district 86
1719560,"Homewood-Flossmoor Community High School District 233, Illinois",Secondary,10096,592,5.863708399366086,homewood-flossmoor community high school district 233
1719620,"Hononegah Community High School District 207, Illinois",Secondary,9268,277,2.9887785930082003,hononegah community high school district 207
1720610,"Joliet Township High School District 204, Illinois",Secondary,29010,3384,11.664943123061015,joliet township high school district 204
1721780,"Lake Forest Community High School District 115, Illinois",Secondary,7375,126,1.7084745762711864,lake forest community high school district 115
1721840,"Lake Park Community High School District 108, Illinois",Secondary,13874,521,3.755225601845178,lake park community high school district 108
1722110,"LaSalle-Peru Township High School District 120, Illinois",Secondary,7223,640,8.860584244773639,lasalle-peru township high school district 120
1722500,"Lemont Township High School District 210, Illinois",Secondary,7042,360,5.112184038625391,lemont township high school district 210
1722740,"Leyden Community High School District 212, Illinois",Secondary,15005,1678,11.182939020326558,leyden community high school district 212
1722830,"Libertyville Community High School District 128, Illinois",Secondary,13556,478,3.5261138979049864,libertyville community high school district 128
1722950,"Limestone Community High School District 310, Illinois",Secondary,5338,308,5.769951292618958,limestone community high school district 310
1723050,"Lincoln Community High School District 404, Illinois",Secondary,4630,309,6.673866090712743,lincoln community high school district 404
1723070,"Lincoln Way Community High School District 210, Illinois",Secondary,29319,606,2.066919062723831,lincoln way community high school district 210
1723350,"Lockport Township High School District 205, Illinois",Secondary,18820,805,4.277364505844846,lockport township high school district 205
1723880,"Lyons Township High School District 204, Illinois",Secondary,17929,576,3.2126722070388753,lyons township high school district 204
1724090,"Maine Township High School District 207, Illinois",Secondary,36909,2286,6.193611314313582,maine township high school district 207
1724570,"Marengo Community High School District 154, Illinois",Secondary,3762,280,7.442849548112706,marengo community high school district 154
1725320,"McHenry Community High School District 156, Illinois",Secondary,12132,608,5.01153972964062,mchenry community high school district 156
1725650,"Mendota Township High School District 280, Illinois",Secondary,2709,187,6.9029162052417865,mendota township high school district 280
1725770,"Metamora Township High School District 122, Illinois",Secondary,4585,160,3.4896401308615053,metamora township high school district 122
1726180,"Fairfield Community High School District 225, Illinois",Secondary,2738,343,12.527392257121987,fairfield community high school district 225
1726340,"Minooka Community High School District 111, Illinois",Secondary,10785,233,2.1604079740380158,minooka community high school district 111
